address	kind	section	name	demangled
01f78bb0	data	.bss	db_dlist	db_dlist
01e93868	function	.text	SND_PlayPositionalSound__FP9GDE_SoundPC4VEC3fPP14SND_PositionalUi	SND_PlayPositionalSound(GDE_Sound *, VEC3 const *, float, SND_Positional **, unsigned int)
01e9f178	function	.text	ceilf	ceilf
01e83010	function	.text	RENDEREFFECT_RestoreScreenEffectsState__Fv	RENDEREFFECT_RestoreScreenEffectsState(void)
01e66ce8	function	.text	MCPI_SendProgress__Fii	MCPI_SendProgress(int, int)
01e91be8	function	.text	GLOBALWAD_FindAssetsByType__F14WAD_ASSET_TYPE	GLOBALWAD_FindAssetsByType(WAD_ASSET_TYPE)
01e93b68	function	.text	SND_FixupSoundSignaturesIOP__FPUiPvPFP13WadLocationIDUi14WAD_ASSET_TYPE13WadLocationID_P15WAD_FILE_HEADERb	SND_FixupSoundSignaturesIOP(unsigned int *, void *, WAD_FILE_HEADER *(*)(WadLocationID *, unsigned int, WAD_ASSET_TYPE, WadLocationID), bool)
01e95d90	function	.text	dlib_displist_set_blend_state__FP13DLIB_DISPLISTUl	dlib_displist_set_blend_state(DLIB_DISPLIST *, unsigned long)
01ef2d4c	data	.data	g_TextureMemory	g_TextureMemory
01ec805c	function	.text	strcat	strcat
01ef755c	data	.data	g_ALPHASORT_nBatchesToRender	g_ALPHASORT_nBatchesToRender
01ebd790	function	.text	ps2fioOpen	ps2fioOpen
01f78c20	data	.bss	g_GSSettings	g_GSSettings
01e9fb48	function	.text	fmodf	fmodf
01e84ee0	function	.text	ReleaseBufferCache__Fv	ReleaseBufferCache(void)
01e9eea8	function	.text	floor	floor
01e84828	function	.text	Perspective__Q34scee3Psp3Gumffff	scee::Psp::Gum::Perspective(float, float, float, float)
01e9fdd0	function	.text	powf	powf
01ef2d74	data	.data	g_RENDEREFFECT_VIGNETTE_Intensity	g_RENDEREFFECT_VIGNETTE_Intensity
01e80560	function	.text	RENDEREFFECT_HDR__Fv	RENDEREFFECT_HDR(void)
01e84cc8	function	.text	BufferCacheInUse__Fv	BufferCacheInUse(void)
01e84cf8	function	.text	GetBufferCachePtr__Fv	GetBufferCachePtr(void)
01f02390	data	.data	simple_vu_code_microcode	simple_vu_code_microcode
01e849c8	function	.text	TexPerspective__Q34scee3Psp3Gumffffff	scee::Psp::Gum::TexPerspective(float, float, float, float, float, float)
