address	kind	section	name	demangled
01f78b70	data	.bss	db_dlist	db_dlist
01e91bb8	function	.text	SND_PlayPositionalSound__FP9GDE_SoundPC4VEC3fPP14SND_PositionalUi	SND_PlayPositionalSound(GDE_Sound *, VEC3 const *, float, SND_Positional **, unsigned int)
01e9d4c8	function	.text	ceilf	ceilf
01e811d8	function	.text	RENDEREFFECT_RestoreScreenEffectsState__Fv	RENDEREFFECT_RestoreScreenEffectsState(void)
01e64eb0	function	.text	MCPI_SendProgress__Fii	MCPI_SendProgress(int, int)
01e8ff38	function	.text	GLOBALWAD_FindAssetsByType__F14WAD_ASSET_TYPE	GLOBALWAD_FindAssetsByType(WAD_ASSET_TYPE)
01e91eb8	function	.text	SND_FixupSoundSignaturesIOP__FPUiPvPFP13WadLocationIDUi14WAD_ASSET_TYPE13WadLocationID_P15WAD_FILE_HEADERb	SND_FixupSoundSignaturesIOP(unsigned int *, void *, WAD_FILE_HEADER *(*)(WadLocationID *, unsigned int, WAD_ASSET_TYPE, WadLocationID), bool)
01e940e0	function	.text	dlib_displist_set_blend_state__FP13DLIB_DISPLISTUl	dlib_displist_set_blend_state(DLIB_DISPLIST *, unsigned long)
01ef102c	data	.data	g_TextureMemory	g_TextureMemory
01ec63ac	function	.text	strcat	strcat
01ef583c	data	.data	g_ALPHASORT_nBatchesToRender	g_ALPHASORT_nBatchesToRender
01ebbae0	function	.text	ps2fioOpen	ps2fioOpen
01f78be0	data	.bss	g_GSSettings	g_GSSettings
01e9de98	function	.text	fmodf	fmodf
01e830a8	function	.text	ReleaseBufferCache__Fv	ReleaseBufferCache(void)
01e9d1f8	function	.text	floor	floor
01e829f0	function	.text	Perspective__Q34scee3Psp3Gumffff	scee::Psp::Gum::Perspective(float, float, float, float)
01e9e120	function	.text	powf	powf
01ef1054	data	.data	g_RENDEREFFECT_VIGNETTE_Intensity	g_RENDEREFFECT_VIGNETTE_Intensity
01e7e728	function	.text	RENDEREFFECT_HDR__Fv	RENDEREFFECT_HDR(void)
01e82e90	function	.text	BufferCacheInUse__Fv	BufferCacheInUse(void)
