address	kind	section	name	demangled
01f78b70	data	.bss	db_dlist	db_dlist
01e91960	function	.text	SND_PlayPositionalSound__FP9GDE_SoundPC4VEC3fPP14SND_PositionalUi	SND_PlayPositionalSound(GDE_Sound *, VEC3 const *, float, SND_Positional **, unsigned int)
01e9d270	function	.text	ceilf	ceilf
01e80f80	function	.text	RENDEREFFECT_RestoreScreenEffectsState__Fv	RENDEREFFECT_RestoreScreenEffectsState(void)
01e64bd8	function	.text	MCPI_SendProgress__Fii	MCPI_SendProgress(int, int)
01e8fce0	function	.text	GLOBALWAD_FindAssetsByType__F14WAD_ASSET_TYPE	GLOBALWAD_FindAssetsByType(WAD_ASSET_TYPE)
01e91c60	function	.text	SND_FixupSoundSignaturesIOP__FPUiPvPFP13WadLocationIDUi14WAD_ASSET_TYPE13WadLocationID_P15WAD_FILE_HEADERb	SND_FixupSoundSignaturesIOP(unsigned int *, void *, WAD_FILE_HEADER *(*)(WadLocationID *, unsigned int, WAD_ASSET_TYPE, WadLocationID), bool)
01e93e88	function	.text	dlib_displist_set_blend_state__FP13DLIB_DISPLISTUl	dlib_displist_set_blend_state(DLIB_DISPLIST *, unsigned long)
01ef102c	data	.data	g_TextureMemory	g_TextureMemory
01ec619c	function	.text	strcat	strcat
01ef583c	data	.data	g_ALPHASORT_nBatchesToRender	g_ALPHASORT_nBatchesToRender
01ebb8d0	function	.text	ps2fioOpen	ps2fioOpen
01f78be0	data	.bss	g_GSSettings	g_GSSettings
01e9dc40	function	.text	fmodf	fmodf
01e82e50	function	.text	ReleaseBufferCache__Fv	ReleaseBufferCache(void)
01e9cfa0	function	.text	floor	floor
01e82798	function	.text	Perspective__Q34scee3Psp3Gumffff	scee::Psp::Gum::Perspective(float, float, float, float)
01e9dec8	function	.text	powf	powf
01ef1054	data	.data	g_RENDEREFFECT_VIGNETTE_Intensity	g_RENDEREFFECT_VIGNETTE_Intensity
01e7e4d0	function	.text	RENDEREFFECT_HDR__Fv	RENDEREFFECT_HDR(void)
01e82c38	function	.text	BufferCacheInUse__Fv	BufferCacheInUse(void)
01e82c68	function	.text	GetBufferCachePtr__Fv	GetBufferCachePtr(void)
01f00710	data	.data	simple_vu_code_microcode	simple_vu_code_microcode
01e82938	function	.text	TexPerspective__Q34scee3Psp3Gumffffff	scee::Psp::Gum::TexPerspective(float, float, float, float, float, float)
01f07120	data	.data	tie_vu_renderer	tie_vu_renderer
01e9d9a0	function	.text	atan2f	atan2f
01e92550	function	.text	SND_FadeAllATRAC__Fff	SND_FadeAllATRAC(float, float)
01e93c00	function	.text	dlib_displist_add_data_ul64__FP13DLIB_DISPLISTUlUl	dlib_displist_add_data_ul64(DLIB_DISPLIST *, unsigned long, unsigned long)
01e92318	function	.text	SND_PlayATRAC__FPCcPifb	SND_PlayATRAC(char const *, int *, float, bool)
01ea6fd8	function	.text	BinkSetVolume	BinkSetVolume
01eca270	function	.text	strncasecmp	strncasecmp
01f04280	data	.data	staticmesh_vu_renderer_scissoring_shadow	staticmesh_vu_renderer_scissoring_shadow
01e8fac8	function	.text	PS2HEAP_MaxFreeMemSize__Fv	PS2HEAP_MaxFreeMemSize(void)
01e91b50	function	.text	SND_IsLooping__FPC9GDE_Sound	SND_IsLooping(GDE_Sound const *)
01ed0950	function	.text	GetThreadId	GetThreadId
01e7d250	function	.text	FOG_PreUpdate__Fv	FOG_PreUpdate(void)
01e91580	function	.text	SND_SetGlobalSoundRegister__FUiScUi	SND_SetGlobalSoundRegister(unsigned int, signed char, unsigned int)
01e917d8	function	.text	SND_PlayPositionalSound__FP14SND_PositionalUi	SND_PlayPositionalSound(SND_Positional *, unsigned int)
01e92760	function	.text	SND_IsAllAtracPaused__Fv	SND_IsAllAtracPaused(void)
01e821b8	function	.text	LookAt__Q34scee3Psp3GumPC14ScePspFVector3N21	scee::Psp::Gum::LookAt(ScePspFVector3 const *, ScePspFVector3 const *, ScePspFVector3 const *)
01e81b68	function	.text	PopMatrix__Q34scee3Psp3Gumv	scee::Psp::Gum::PopMatrix(void)
01e9d690	function	.text	sqrt	sqrt
01e80f48	function	.text	RENDEREFFECT_SaveScreenEffectsState__Fv	RENDEREFFECT_SaveScreenEffectsState(void)
01e624c0	function	.text	MEMCARD_Busy__Fv	MEMCARD_Busy(void)
01e62698	function	.text	MEMCARD_Saving__Fv	MEMCARD_Saving(void)
01e93c68	function	.text	dlib_displist_mpg__FP13DLIB_DISPLISTP6QWdata	dlib_displist_mpg(DLIB_DISPLIST *, QWdata *)
01ec9048	function	.text	rand	rand
01e624f8	function	.text	MEMCARD_GetDanSkinUnlocked__Fv	MEMCARD_GetDanSkinUnlocked(void)
01ec80d8	function	.text	__assert	__assert
01ec5fe8	function	.text	memmove	memmove
01ef6a14	data	.data	g_pCurrentRenderTarget	g_pCurrentRenderTarget
01e924e8	function	.text	SND_StopAllATRAC__Fv	SND_StopAllATRAC(void)
